id,name,category,status_item,price,description,images/0,images/1,sold,images/2,images/3
17,Marvel 1602/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação do arco das histórias '1602' do Universo Marvel publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-32/gr007106/118690,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
18,O Espetacular Homem-Aranha: De Volta ao Lar/Salvat,hqs,Usado - Como Novo,"R$20,00",Graphic Novel com a compilação de histórias do Homem-Aranha publicada pela Editora Salvat em 2013. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-21/gr007106/104302,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
19,O Espetacular Homem-Aranha: Revelações & Até Que as Estrelas Esfriem/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação de histórias do Homem-Aranha publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-22/gr007106/116449,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
20,O Espetacular Homem-Aranha: A Última Caçada de Kraven/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação de histórias do Homem-Aranha publicada pela Editora Salvat em 2013. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-9/gr007106/107146,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
21,Mulher-Maravilha - O Círculo/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias da Mulher Maravilha publicada pela Editora Eaglemoss em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-17/dc125010/124184,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
22,"Eu, Wolverine/Salvat",hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Wolverine publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-4/gr007106/120681,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
23,Ultimate Homem-Aranha: A Morte do Homem-Aranha/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Homem-Aranha publicada pela Editora Salvat em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-69/gr007106/126801,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
24,O Espetacular Homem-Aranha: Homem-Aranha Nunca Mais!/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Homem-Aranha publicada pela Editora Salvat em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-classicos-n-6/co105410/123627,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
25,X-Men: O Cisma/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias dos X-men publicada pela Editora Salvat em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-72/gr007106/129486,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
26,Terra das Sombras/Salvat,hqs,Novo,"R$30,00",HQ LACRADA. Graphic Novel com a compilação das histórias dos heróis do Universo Marvel publicada pela Editora Salvat em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-65/gr007106/124463,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
27,Invasão secreta/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias dos heróis do Universo Marvel publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-59/gr007106/119746,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
28,Coleção Histórica Marvel: Wolverine/Panini,hqs,Usado - Como Novo,"R$50,00",Primeiro volume das HQs históricas do universo Marvel sobre o arco 'Wolverine' publicadas pela Editora Panini em 2017. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-historica-marvel-wolverine-n-1/co011149/129643,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_GuerrasSecretaas.png,FALSE,,
29,Superman - Entre A Foice e O Martelo (Capa Dura)/Panini,hqs,Novo,"R$50,00",HQ LACRADA. Graphic Novel sobre o Superman publicada pela Editora Panini em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/superman-entre-a-foice-e-o-martelo-(capa-dura)/su011134/133681,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_GuerrasSecretaas.png,FALSE,,
30,Arqueiro Verde e Lanterna Verde: Na Estrada/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Arqueiro Verde e Lanterna Verde publicada pela Editora Eaglemoss em 2018. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-59/dc125010/136833,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
31,Mulher-Maravilha - Os Olhos da Górgona/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias da Mulher-Maravilha publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-47/dc125010/133551,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
32,Superman & Batman - Inimigos Entre Nós/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Batman e Superman publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-40/dc125010/130301,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
